infraction_description,set_fine_amount,location2
PARK PROHIBITED TIME NO PERMIT,30,165 BINGHAM AVE
PARK PROHIBITED TIME NO PERMIT,30,709 RHODES AVE
PARK PROHIBITED TIME NO PERMIT,30,2 GAMBLE AVE
PARK PROHIBITED TIME NO PERMIT,30,FORMAN AVE
PARK PROHIBITED TIME NO PERMIT,30,22 ORIOLE CRES
PARK PROHIBITED TIME NO PERMIT,30,105 WEST LODGE AVE
PARK PROHIBITED TIME NO PERMIT,30,30 ORIOLE CRES
PARK PROHIBITED TIME NO PERMIT,30,105 WEST LODGE AVE
PARK PROHIBITED TIME NO PERMIT,30,20 GAMBLE AVE
PARK PROHIBITED TIME NO PERMIT,30,201 CARLAW AVE
PARK PROHIBITED TIME NO PERMIT,30,105 WEST LODGE AVE
PARK PROHIBITED TIME NO PERMIT,30,20 GAMBLE AVE
PARK PROHIBITED TIME NO PERMIT,30,105 WEST LODGE AVE
PARK PROHIBITED TIME NO PERMIT,30,34 GORMLEY AVE
PARK PROHIBITED TIME NO PERMIT,30,318 LOGAN AVE
PARK PROHIBITED TIME NO PERMIT,30,FALCON ST
PARK PROHIBITED TIME NO PERMIT,30,99 WEST LODGE AVE
PARK PROHIBITED TIME NO PERMIT,30,136 HIAWATHA RD
PARK PROHIBITED TIME NO PERMIT,30,24 GORMLEY AVE
PARK PROHIBITED TIME NO PERMIT,30,20 GAMBLE AVE
PARK PROHIBITED TIME NO PERMIT,30,356 LOGAN AVE
PARK PROHIBITED TIME NO PERMIT,30,20 GAMBLE AVE
PARK PROHIBITED TIME NO PERMIT,30,482 MONTROSE AVE
PARK PROHIBITED TIME NO PERMIT,30,FALCON ST
PARK PROHIBITED TIME NO PERMIT,30,80 O'HARA AVE
PARK PROHIBITED TIME NO PERMIT,30,67 NATALIE PL
PARK PROHIBITED TIME NO PERMIT,30,81 O'HARA AVE
PARK PROHIBITED TIME NO PERMIT,30,20 GAMBLE AVE
PARK PROHIBITED TIME NO PERMIT,30,88 COLGATE AVE
PARK PROHIBITED TIME NO PERMIT,30,311 KINGSWOOD RD
PARK PROHIBITED TIME NO PERMIT,30,357 ASHDALE AVE
PARK PROHIBITED TIME NO PERMIT,30,72 GAMBLE AVE
PARK PROHIBITED TIME NO PERMIT,30,88 COLGATE AVE
PARK PROHIBITED TIME NO PERMIT,30,GORMLEY AVE
PARK PROHIBITED TIME NO PERMIT,30,72 GAMBLE AVE
PARK PROHIBITED TIME NO PERMIT,30,23 CUNNINGHAM AVE
PARK PROHIBITED TIME NO PERMIT,30,15 CUNNINGHAM AVE
PARK PROHIBITED TIME NO PERMIT,30,310 KINGSWOOD RD
PARK PROHIBITED TIME NO PERMIT,30,5 WALMSLEY BLVD
PARK PROHIBITED TIME NO PERMIT,30,191 HEWARD AVE
PARK PROHIBITED TIME NO PERMIT,30,15 CUNNINGHAM AVE
PARK PROHIBITED TIME NO PERMIT,30,35 GLENSIDE AVE
PARK PROHIBITED TIME NO PERMIT,30,47 WALMSLEY BLVD
PARK PROHIBITED TIME NO PERMIT,30,HILLSDALE AVE E
PARK PROHIBITED TIME NO PERMIT,30,7 CUNNINGHAM AVE
PARK PROHIBITED TIME NO PERMIT,30,344 KINGSWOOD RD
PARK PROHIBITED TIME NO PERMIT,30,143 HEWARD AVE
PARK PROHIBITED TIME NO PERMIT,30,57 WALMSLEY BLVD
PARK PROHIBITED TIME NO PERMIT,30,HILLSDALE AVE E
PARK PROHIBITED TIME NO PERMIT,30,56 PAPE AVE
PARK PROHIBITED TIME NO PERMIT,30,377 SCARBOROUGH RD
PARK PROHIBITED TIME NO PERMIT,30,70 PAPE AVE
PARK PROHIBITED TIME NO PERMIT,30,273 GREENWOOD AVE
PARK PROHIBITED TIME NO PERMIT,30,11 EARNBRIDGE ST
PARK PROHIBITED TIME NO PERMIT,30,273 GREENWOOD AVE
PARK PROHIBITED TIME NO PERMIT,30,80 PAPE AVE
PARK PROHIBITED TIME NO PERMIT,30,16 EARNBRIDGE ST
PARK PROHIBITED TIME NO PERMIT,30,87 PAPE AVE
PARK PROHIBITED TIME NO PERMIT,30,16 EARNBRIDGE ST
PARK PROHIBITED TIME NO PERMIT,30,46 ORIOLE RD
PARK PROHIBITED TIME NO PERMIT,30,BALSAM AVE
PARK PROHIBITED TIME NO PERMIT,30,248 GREENWOOD AVE
PARK PROHIBITED TIME NO PERMIT,30,564 RIDELLE AVE
PARK PROHIBITED TIME NO PERMIT,30,72 GAMBLE AVE
PARK PROHIBITED TIME NO PERMIT,30,72 GAMBLE AVE
PARK PROHIBITED TIME NO PERMIT,30,18 PAPE AVE
PARK PROHIBITED TIME NO PERMIT,30,155 BALSAM AVE
PARK PROHIBITED TIME NO PERMIT,30,83 ORIOLE RD
PARK PROHIBITED TIME NO PERMIT,30,18 PAPE AVE
PARK PROHIBITED TIME NO PERMIT,30,24 NOBLE ST
PARK PROHIBITED TIME NO PERMIT,30,578 RIDELLE AVE
PARK PROHIBITED TIME NO PERMIT,30,578 RIDELLE AVE
PARK PROHIBITED TIME NO PERMIT,30,100 GAMBLE AVE
PARK PROHIBITED TIME NO PERMIT,30,27 WINNIFRED AVE
PARK PROHIBITED TIME NO PERMIT,30,578 RIDELLE AVE
PARK PROHIBITED TIME NO PERMIT,30,100 GAMBLE AVE
PARK PROHIBITED TIME NO PERMIT,30,100 GAMBLE AVE
PARK PROHIBITED TIME NO PERMIT,30,27 WINNIFRED AVE
PARK PROHIBITED TIME NO PERMIT,30,27 WINNIFRED AVE
PARK PROHIBITED TIME NO PERMIT,30,24 NOBLE ST
PARK PROHIBITED TIME NO PERMIT,30,SYCAMORE PL
PARK PROHIBITED TIME NO PERMIT,30,27 WINNIFRED AVE
PARK PROHIBITED TIME NO PERMIT,30,37 WINNIFRED AVE
PARK PROHIBITED TIME NO PERMIT,30,680 RIDELLE AVE
PARK PROHIBITED TIME NO PERMIT,30,67 BALSAM AVE
PARK PROHIBITED TIME NO PERMIT,30,53 WINNIFRED AVE
PARK PROHIBITED TIME NO PERMIT,30,53 WINNIFRED AVE
PARK PROHIBITED TIME NO PERMIT,30,100 GAMBLE AVE
PARK PROHIBITED TIME NO PERMIT,30,81 HIAWATHA RD
PARK PROHIBITED TIME NO PERMIT,30,515 ROSEWELL AVE
PARK PROHIBITED TIME NO PERMIT,30,19 CAROLINE AVE
PARK PROHIBITED TIME NO PERMIT,30,SYCAMORE PL
PARK PROHIBITED TIME NO PERMIT,30,515 ROSEWELL AVE
PARK PROHIBITED TIME NO PERMIT,30,124 GAMBLE AVE
PARK PROHIBITED TIME NO PERMIT,30,SYCAMORE PL
PARK PROHIBITED TIME NO PERMIT,30,35 COADY AVE
PARK PROHIBITED TIME NO PERMIT,30,30 PRINGDALE GARDENS CRCL
PARK PROHIBITED TIME NO PERMIT,30,SYCAMORE PL
PARK PROHIBITED TIME NO PERMIT,30,485 ROSEWELL AVE
PARK PROHIBITED TIME NO PERMIT,30,45 COADY AVE
PARK PROHIBITED TIME NO PERMIT,30,26 RIPLEY AVE
PARK PROHIBITED TIME NO PERMIT,30,SYCAMORE PL
PARK PROHIBITED TIME NO PERMIT,30,481 ROSEWELL AVE
PARK PROHIBITED TIME NO PERMIT,30,82 PRINGDALE GARDENS CRCL
PARK PROHIBITED TIME NO PERMIT,30,122 BERTMOUNT AVE
PARK PROHIBITED TIME NO PERMIT,30,130 BERTMOUNT AVE
PARK PROHIBITED TIME NO PERMIT,30,74 BERTMOUNT AVE
PARK PROHIBITED TIME NO PERMIT,30,143 ELMER AVE
PARK PROHIBITED TIME NO PERMIT,30,65 ELMER AVE
PARK PROHIBITED TIME NO PERMIT,30,41 CRAYDON AVE
PARK PROHIBITED TIME NO PERMIT,30,65 ELMER AVE
PARK PROHIBITED TIME NO PERMIT,30,252 GAMBLE AVE
PARK PROHIBITED TIME NO PERMIT,30,96 CURZON ST
PARK PROHIBITED TIME NO PERMIT,30,90 CURZON ST
PARK PROHIBITED TIME NO PERMIT,30,70 CURZON ST
PARK PROHIBITED TIME NO PERMIT,30,1 GRAY AVE
PARK PROHIBITED TIME NO PERMIT,30,70 CURZON ST
PARK PROHIBITED TIME NO PERMIT,30,11 RIALTO DR
PARK PROHIBITED TIME NO PERMIT,30,8 RIALTO DR
PARK PROHIBITED TIME NO PERMIT,30,15 GRAY AVE
PARK PROHIBITED TIME NO PERMIT,30,20 CURZON ST
PARK PROHIBITED TIME NO PERMIT,30,20 CURZON ST
PARK PROHIBITED TIME NO PERMIT,30,35 GRAY AVE
PARK PROHIBITED TIME NO PERMIT,30,177 COXWELL AVE
PARK PROHIBITED TIME NO PERMIT,30,6 HASLETT AVE
PARK PROHIBITED TIME NO PERMIT,30,99 DOWLING AVE
PARK PROHIBITED TIME NO PERMIT,30,135 COXWELL AVE
PARK PROHIBITED TIME NO PERMIT,30,99 DOWLING AVE
PARK PROHIBITED TIME NO PERMIT,30,99 DOWLING AVE
PARK PROHIBITED TIME NO PERMIT,30,75 DOWLING AVE
PARK PROHIBITED TIME NO PERMIT,30,159 ELMER AVE
PARK PROHIBITED TIME NO PERMIT,30,75 DOWLING AVE
PARK PROHIBITED TIME NO PERMIT,30,75 DOWLING AVE
PARK PROHIBITED TIME NO PERMIT,30,148 ELMER AVE
PARK PROHIBITED TIME NO PERMIT,30,460 SYMINGTON AVE
PARK PROHIBITED TIME NO PERMIT,30,33 JONES AVE
PARK PROHIBITED TIME NO PERMIT,30,33 JONES AVE
PARK PROHIBITED TIME NO PERMIT,30,440 SYMINGTON AVE
PARK PROHIBITED TIME NO PERMIT,30,64 JONES AVE
PARK PROHIBITED TIME NO PERMIT,30,74 JONES AVE
PARK PROHIBITED TIME NO PERMIT,30,39 CORLEY AVE
PARK PROHIBITED TIME NO PERMIT,30,159 JONES AVE
PARK PROHIBITED TIME NO PERMIT,30,201 JONES AVE
PARK PROHIBITED TIME NO PERMIT,30,5279 WOODBINE AVE
PARK PROHIBITED TIME NO PERMIT,30,33 WINNERS CRCL
PARK PROHIBITED TIME NO PERMIT,30,272 JONES AVE
PARK PROHIBITED TIME NO PERMIT,30,280 JONES AVE
PARK PROHIBITED TIME NO PERMIT,30,284 JONES AVE
PARK PROHIBITED TIME NO PERMIT,30,307 JONES AVE
PARK PROHIBITED TIME NO PERMIT,30,188 INDIAN RD
PARK PROHIBITED TIME NO PERMIT,30,103 SARAH ASHBRIDGE AVE
PARK PROHIBITED TIME NO PERMIT,30,196 INDIAN RD
PARK PROHIBITED TIME NO PERMIT,30,77 DAGMAR AVE
PARK PROHIBITED TIME NO PERMIT,30,208 INDIAN RD
PARK PROHIBITED TIME NO PERMIT,30,65 DAGMAR AVE
PARK PROHIBITED TIME NO PERMIT,30,270 INDIAN RD
PARK PROHIBITED TIME NO PERMIT,30,118 BOARDWALK DR
PARK PROHIBITED TIME NO PERMIT,30,235 STRATHMORE BLVD
PARK PROHIBITED TIME NO PERMIT,30,163 CASTLEFIELD AVE
PARK PROHIBITED TIME NO PERMIT,30,11 HIGH PARK GDNS
PARK PROHIBITED TIME NO PERMIT,30,11 HIGH PARK GDNS
PARK PROHIBITED TIME NO PERMIT,30,179 CASTLEFIELD AVE
PARK PROHIBITED TIME NO PERMIT,30,187 CASTLEFIELD AVE
PARK PROHIBITED TIME NO PERMIT,30,11 HIGH PARK GDNS
PARK PROHIBITED TIME NO PERMIT,30,31 HIGH PARK GDNS
PARK PROHIBITED TIME NO PERMIT,30,265 CASTLEFIELD AVE
PARK PROHIBITED TIME NO PERMIT,30,90 BROADVIEW AVE
PARK PROHIBITED TIME NO PERMIT,30,68 BROADVIEW AVE
PARK PROHIBITED TIME NO PERMIT,30,3 COLUMBUS AVE
PARK PROHIBITED TIME NO PERMIT,30,23 KINTYRE AVE
PARK PROHIBITED TIME NO PERMIT,30,336 WAVERLEY RD
PARK PROHIBITED TIME NO PERMIT,30,23 KINTYRE AVE
PARK PROHIBITED TIME NO PERMIT,30,54 EVERETT CRES
PARK PROHIBITED TIME NO PERMIT,30,101 COXWELL AVE
PARK PROHIBITED TIME NO PERMIT,30,195 WAVERLEY RD
PARK PROHIBITED TIME NO PERMIT,30,106 FIRST AVE
PARK PROHIBITED TIME NO PERMIT,30,69 PARKWAY AVE
PARK PROHIBITED TIME NO PERMIT,30,69 PARKWAY AVE
PARK PROHIBITED TIME NO PERMIT,30,165 WAVERLEY RD
PARK PROHIBITED TIME NO PERMIT,30,34 FIRST AVE
PARK PROHIBITED TIME NO PERMIT,30,19 GEOFFREY ST
PARK PROHIBITED TIME NO PERMIT,30,19 GEOFFREY ST
PARK PROHIBITED TIME NO PERMIT,30,22 BELLEFAIR AVE
PARK PROHIBITED TIME NO PERMIT,30,180 GEOFFREY ST
PARK PROHIBITED TIME NO PERMIT,30,41 GEOFFREY ST
PARK PROHIBITED TIME NO PERMIT,30,41 GEOFFREY ST
PARK PROHIBITED TIME NO PERMIT,30,47 GEOFFREY ST
PARK PROHIBITED TIME NO PERMIT,30,47 GEOFFREY ST
PARK PROHIBITED TIME NO PERMIT,30,138 BELLEFAIR AVE
PARK PROHIBITED TIME NO PERMIT,30,67 GEOFFREY ST
PARK PROHIBITED TIME NO PERMIT,30,GEOFFREY ST
PARK PROHIBITED TIME NO PERMIT,30,172 GRENADIER RD
PARK PROHIBITED TIME NO PERMIT,30,3 VENTNOR AVE
